i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
29,104,0.230469,0.816406,0.662243,-0.0977186,0.0344119,0,0.445654,0.75,0.579338,0,0,0,0.947698
30,104,0.238281,0.816406,0.662732,-0.0587237,0.0206513,0,0.446291,0.75,0.580259,0,0,0,0.948262
31,104,0.246094,0.816406,0.662981,-0.0195898,0.00688445,0,0.446612,0.75,0.580723,0,0,0,0.948546
32,104,0.253906,0.816406,0.662981,0.0195898,-0.00688445,0,0.446612,0.75,0.580723,0,0,0,0.948546
33,104,0.261719,0.816406,0.662732,0.0587237,-0.0206513,0,0.446291,0.75,0.580259,0,0,0,0.948262
34,104,0.269531,0.816406,0.662243,0.0977186,-0.0344119,0,0.445654,0.75,0.579338,0,0,0,0.947698
35,104,0.277344,0.816406,0.661519,0.136478,-0.0481601,0,0.444709,0.75,0.577969,0,0,0,0.946862
36,104,0.285156,0.816406,0.660572,0.174899,-0.0618863,0,0.443469,0.75,0.576169,0,0,0,0.945764
37,104,0.292969,0.816406,0.659415,0.212872,-0.0755762,0,0.441955,0.75,0.573961,0,0,0,0.944421
38,104,0.300781,0.816406,0.658068,0.250276,-0.0892083,0,0.440196,0.75,0.571379,0,0,0,0.942854
39,104,0.308594,0.816406,0.656559,0.286974,-0.102752,0,0.438227,0.75,0.568465,0,0,0,0.941091
40,104,0.316406,0.816406,0.654924,0.322813,-0.116167,0,0.4361,0.75,0.565275,0,0,0,0.939168
41,104,0.324219,0.816406,0.653212,0.357616,-0.129396,0,0.433879,0.75,0.561881,0,0,0,0.937129
42,104,0.332031,0.816406,0.651485,0.391177,-0.14237,0,0.431645,0.75,0.558371,0,0,0,0.935029
43,104,0.339844,0.816406,0.649822,0.423262,-0.155001,0,0.4295,0.75,0.554856,0,0,0,0.932933
44,104,0.347656,0.816406,0.648319,0.4536,-0.167187,0,0.427571,0.75,0.551461,0,0,0,0.930919
45,104,0.355469,0.816406,0.647091,0.481892,-0.178821,0,0.426006,0.75,0.548326,0,0,0,0.929065
46,104,0.363281,0.816406,0.646273,0.507813,-0.189817,0,0.424982,0.75,0.545579,0,0,0,0.927446
47,104,0.371094,0.816406,0.646022,0.531025,-0.20017,0,0.424705,0.75,0.543289,0,0,0,0.926101
48,104,0.378906,0.816406,0.646542,0.551173,-0.210119,0,0.425448,0.75,0.541346,0,0,0,0.924962
49,104,0.386719,0.816406,0.648183,0.5678,-0.220564,0,0.427685,0.75,0.539163,0,0,0,0.923686
50,104,0.394531,0.816406,0.65177,0.580004,-0.234227,0,0.432566,0.75,0.534862,0,0,0,0.921182
51,104,0.402344,0.816406,0.659481,0.585463,-0.258698,0,0.443335,0.75,0.523099,0,0,0,0.914403
52,104,0.410156,0.816406,0.676247,0.578864,-0.312452,0,0.468551,0.75,0.490282,0,0,0,0.896034
53,104,0.417969,0.816406,0.708394,0.55321,-0.426582,0,0.523243,0.75,0.410779,0,0,0,0.855125
54,104,0.425781,0.816406,0.752931,0.510332,-0.615664,0,0.608602,0.75,0.265311,0,0,0,0.795544
55,104,0.433594,0.816406,0.788991,0.472017,-0.83614,0,0.683993,0.75,0.081598,0,0,0,0.754426
56,104,0.441406,0.816406,0.799577,0.458652,-1.02863,0,0.711656,0.75,-0.0855024,0,0,0,0.754858
57,104,0.449219,0.816406,0.789366,0.468664,-1.17535,0,0.699159,0.75,-0.212208,0,0,0,0.779444
58,104,0.457031,0.816406,0.769715,0.490649,-1.2856,0,0.668776,0.75,-0.304145,0,0,0,0.809323
59,104,0.464844,0.816406,0.747603,0.516369,-1.37047,0,0.634111,0.75,-0.371754,0,0,0,0.837079
60,104,0.472656,0.816406,0.726059,0.542088,-1.43656,0,0.60084,0.75,-0.421909,0,0,0,0.860527
61,104,0.480469,0.816406,0.706401,0.566252,-1.48729,0,0.571212,0.75,-0.458479,0,0,0,0.879035
62,104,0.488281,0.816406,0.689287,0.58809,-1.52456,0,0.546196,0.75,-0.483806,0,0,0,0.892507
63,104,0.496094,0.816406,0.674959,0.607253,-1.54986,0,0.526046,0.75,-0.499666,0,0,0,0.901203
64,104,0.503906,0.816406,0.663253,0.623779,-1.56494,0,0.510419,0.75,-0.507782,0,0,0,0.905727
65,104,0.511719,0.816406,0.653626,0.638094,-1.57196,0,0.498464,0.75,-0.509983,0,0,0,0.906963
66,104,0.519531,0.816406,0.645287,0.650889,-1.57327,0,0.489049,0.75,-0.508067,0,0,0,0.905887
67,104,0.527344,0.816406,0.637399,0.662908,-1.57099,0,0.481083,0.75,-0.503552,0,0,0,0.903363
68,104,0.535156,0.816406,0.629227,0.67472,-1.56665,0,0.473767,0.75,-0.497532,0,0,0,0.900021
69,104,0.542969,0.816406,0.620179,0.686627,-1.56122,0,0.466668,0.75,-0.49069,0,0,0,0.896257
70,104,0.550781,0.816406,0.609749,0.698678,-1.55519,0,0.459659,0.75,-0.483424,0,0,0,0.8923
71,104,0.558594,0.816406,0.597446,0.710761,-1.54878,0,0.452801,0.75,-0.475954,0,0,0,0.888275
72,104,0.566406,0.816406,0.582775,0.722685,-1.54205,0,0.446246,0.75,-0.468391,0,0,0,0.884246
73,104,0.574219,0.816406,0.565266,0.734264,-1.53495,0,0.440173,0.75,-0.460772,0,0,0,0.880234
74,104,0.582031,0.816406,0.54455,0.745311,-1.52736,0,0.434733,0.75,-0.453094,0,0,0,0.876239
75,104,0.589844,0.816406,0.520451,0.755738,-1.51917,0,0.430007,0.75,-0.44536,0,0,0,0.872265
76,104,0.597656,0.816406,0.493125,0.765419,-1.51038,0,0.426071,0.75,-0.43765,0,0,0,0.868353
77,104,0.605469,0.816406,0.463165,0.773975,-1.50123,0,0.423094,0.75,-0.430253,0,0,0,0.864649
78,104,0.613281,0.816406,0.431678,0.780235,-1.49247,0,0.421593,0.75,-0.423883,0,0,0,0.861497
79,104,0.621094,0.816406,0.400339,0.78112,-1.48578,0,0.422939,0.75,-0.420022,0,0,0,0.859604
80,104,0.628906,0.816406,0.371339,0.769893,-1.48422,0,0.430141,0.75,-0.421265,0,0,0,0.860212
81,104,0.636719,0.816406,0.347021,0.735248,-1.49148,0,0.448385,0.75,-0.430852,0,0,0,0.864947
82,104,0.644531,0.816406,0.328954,0.665604,-1.50725,0,0.48375,0.75,-0.449626,0,0,0,0.87445
83,104,0.652344,0.816406,0.31716,0.559144,-1.51796,0,0.539864,0.75,-0.470162,0,0,0,0.885185
84,104,0.660156,0.816406,0.310815,0.427343,-1.49123,0,0.617369,0.75,-0.473556,0,0,0,0.886992
85,104,0.667969,0.816406,0.309061,0.288146,-1.39008,0,0.715691,0.75,-0.437066,0,0,0,0.868059
86,104,0.675781,0.816406,0.310105,0.161672,-1.20518,0,0.82546,0.75,-0.351396,0,0,0,0.828238
87,104,0.683594,0.816406,0.311172,0.0663037,-0.96827,0,0.921975,0.75,-0.230753,0,0,0,0.784696
88,104,0.691406,0.816406,0.310633,0.00890968,-0.725996,0,0.983625,0.75,-0.101828,0,0,0,0.756881
89,104,0.699219,0.816406,0.308733,-0.0173161,-0.51158,0,1.00924,0.75,0.0139762,0,0,0,0.75013
90,104,0.707031,0.816406,0.306296,-0.0244491,-0.339744,0,1.01137,0.75,0.106569,0,0,0,0.757533
91,104,0.714844,0.816406,0.303833,-0.0224379,-0.212623,0,1.00309,0.75,0.174253,0,0,0,0.769977
92,104,0.722656,0.816406,0.301626,-0.0172601,-0.125177,0,0.992866,0.75,0.219841,0,0,0,0.781556
93,104,0.730469,0.816406,0.299558,-0.0117232,-0.0686917,0,0.984627,0.75,0.248022,0,0,0,0.789946
94,104,0.738281,0.816406,0.296866,-0.0066984,-0.0333187,0,0.97941,0.75,0.263608,0,0,0,0.794978
95,104,0.746094,0.816406,0.29257,-0.00217468,-0.00983321,0,0.976975,0.75,0.270374,0,0,0,0.797246
96,104,0.753906,0.816406,0.29257,0.00217468,0.00983321,0,0.976975,0.75,0.270374,0,0,0,0.797246
97,104,0.761719,0.816406,0.296866,0.0066984,0.0333187,0,0.97941,0.75,0.263608,0,0,0,0.794978
98,104,0.769531,0.816406,0.299558,0.0117232,0.0686917,0,0.984627,0.75,0.248022,0,0,0,0.789946
99,104,0.777344,0.816406,0.301626,0.0172601,0.125177,0,0.992866,0.75,0.219841,0,0,0,0.781556
100,104,0.785156,0.816406,0.303833,0.0224379,0.212623,0,1.00309,0.75,0.174253,0,0,0,0.769977
101,104,0.792969,0.816406,0.306296,0.0244491,0.339744,0,1.01137,0.75,0.106569,0,0,0,0.757533
102,104,0.800781,0.816406,0.308733,0.0173161,0.51158,0,1.00924,0.75,0.0139762,0,0,0,0.75013
103,104,0.808594,0.816406,0.310633,-0.00890968,0.725996,0,0.983625,0.75,-0.101828,0,0,0,0.756881
104,104,0.816406,0.816406,0.311172,-0.0663037,0.96827,0,0.921975,0.75,-0.230753,0,0,0,0.784696
105,104,0.824219,0.816406,0.310105,-0.161672,1.20518,0,0.82546,0.75,-0.351396,0,0,0,0.828238
106,104,0.832031,0.816406,0.309061,-0.288146,1.39008,0,0.715691,0.75,-0.437066,0,0,0,0.868059
107,104,0.839844,0.816406,0.310815,-0.427343,1.49123,0,0.617369,0.75,-0.473556,0,0,0,0.886992
108,104,0.847656,0.816406,0.31716,-0.559144,1.51796,0,0.539864,0.75,-0.470162,0,0,0,0.885185
109,104,0.855469,0.816406,0.328954,-0.665604,1.50725,0,0.48375,0.75,-0.449626,0,0,0,0.87445
110,104,0.863281,0.816406,0.347021,-0.735248,1.49148,0,0.448385,0.75,-0.430852,0,0,0,0.864947
111,104,0.871094,0.816406,0.371339,-0.769893,1.48422,0,0.430141,0.75,-0.421265,0,0,0,0.860212
112,104,0.878906,0.816406,0.400339,-0.78112,1.48578,0,0.422939,0.75,-0.420022,0,0,0,0.859604
113,104,0.886719,0.816406,0.431678,-0.780235,1.49247,0,0.421593,0.75,-0.423883,0,0,0,0.861497
114,104,0.894531,0.816406,0.463165,-0.773975,1.50123,0,0.423094,0.75,-0.430253,0,0,0,0.864649
115,104,0.902344,0.816406,0.493125,-0.765419,1.51038,0,0.426071,0.75,-0.43765,0,0,0,0.868353
116,104,0.910156,0.816406,0.520451,-0.755738,1.51917,0,0.430007,0.75,-0.44536,0,0,0,0.872265
117,104,0.917969,0.816406,0.54455,-0.745311,1.52736,0,0.434733,0.75,-0.453094,0,0,0,0.876239
118,104,0.925781,0.816406,0.565266,-0.734264,1.53495,0,0.440173,0.75,-0.460772,0,0,0,0.880234
119,104,0.933594,0.816406,0.582775,-0.722685,1.54205,0,0.446246,0.75,-0.468391,0,0,0,0.884246
120,104,0.941406,0.816406,0.597446,-0.710761,1.54878,0,0.452801,0.75,-0.475954,0,0,0,0.888275
121,104,0.949219,0.816406,0.609749,-0.698678,1.55519,0,0.459659,0.75,-0.483424,0,0,0,0.8923
122,104,0.957031,0.816406,0.620179,-0.686627,1.56122,0,0.466668,0.75,-0.49069,0,0,0,0.896257
123,104,0.964844,0.816406,0.629227,-0.67472,1.56665,0,0.473767,0.75,-0.497532,0,0,0,0.900021
124,104,0.972656,0.816406,0.637399,-0.662908,1.57099,0,0.481083,0.75,-0.503552,0,0,0,0.903363
125,104,0.980469,0.816406,0.645287,-0.650889,1.57327,0,0.489049,0.75,-0.508067,0,0,0,0.905887
126,104,0.988281,0.816406,0.653626,-0.638094,1.57196,0,0.498464,0.75,-0.509983,0,0,0,0.906963
127,104,0.996094,0.816406,0.663253,-0.623779,1.56494,0,0.510419,0.75,-0.507782,0,0,0,0.905727
0,105,0.00390625,0.824219,0.674959,-0.607253,1.54986,0,0.526046,0.75,-0.499666,0,0,0,0.901203
1,105,0.0117188,0.824219,0.689287,-0.58809,1.52456,0,0.546196,0.75,-0.483806,0,0,0,0.892507
2,105,0.0195312,0.824219,0.706401,-0.566252,1.48729,0,0.571212,0.75,-0.458479,0,0,0,0.879035
3,105,0.0273438,0.824219,0.726059,-0.542088,1.43656,0,0.60084,0.75,-0.421909,0,0,0,0.860527
4,105,0.0351562,0.824219,0.747603,-0.516369,1.37047,0,0.634111,0.75,-0.371754,0,0,0,0.837079
5,105,0.0429688,0.824219,0.769715,-0.490649,1.2856,0,0.668776,0.75,-0.304145,0,0,0,0.809323
6,105,0.0507812,0.824219,0.789366,-0.468664,1.17535,0,0.699159,0.75,-0.212208,0,0,0,0.779444
7,105,0.0585938,0.824219,0.799577,-0.458652,1.02863,0,0.711656,0.75,-0.0855024,0,0,0,0.754858
8,105,0.0664062,0.824219,0.788991,-0.472017,0.83614,0,0.683993,0.75,0.081598,0,0,0,0.754426
9,105,0.0742188,0.824219,0.752931,-0.510332,0.615664,0,0.608602,0.75,0.265311,0,0,0,0.795544
10,105,0.0820312,0.824219,0.708394,-0.55321,0.426582,0,0.523243,0.75,0.410779,0,0,0,0.855125
11,105,0.0898438,0.824219,0.676247,-0.578864,0.312452,0,0.468551,0.75,0.490282,0,0,0,0.896034
12,105,0.0976562,0.824219,0.659481,-0.585463,0.258698,0,0.443335,0.75,0.523099,0,0,0,0.914403
13,105,0.105469,0.824219,0.65177,-0.580004,0.234227,0,0.432566,0.75,0.534862,0,0,0,0.921182
14,105,0.113281,0.824219,0.648183,-0.5678,0.220564,0,0.427685,0.75,0.539163,0,0,0,0.923686
15,105,0.121094,0.824219,0.646542,-0.551173,0.210119,0,0.425448,0.75,0.541346,0,0,0,0.924962
16,105,0.128906,0.824219,0.646022,-0.531025,0.20017,0,0.424705,0.75,0.543289,0,0,0,0.926101
17,105,0.136719,0.824219,0.646273,-0.507813,0.189817,0,0.424982,0.75,0.545579,0,0,0,0.927446
18,105,0.144531,0.824219,0.647091,-0.481892,0.178821,0,0.426006,0.75,0.548326,0,0,0,0.929065
19,105,0.152344,0.824219,0.648319,-0.4536,0.167187,0,0.427571,0.75,0.551461,0,0,0,0.930919
20,105,0.160156,0.824219,0.649822,-0.423262,0.155001,0,0.4295,0.75,0.554856,0,0,0,0.932933
21,105,0.167969,0.824219,0.651485,-0.391177,0.14237,0,0.431645,0.75,0.558371,0,0,0,0.935029
22,105,0.175781,0.824219,0.653212,-0.357616,0.129396,0,0.433879,0.75,0.561881,0,0,0,0.937129
23,105,0.183594,0.824219,0.654924,-0.322813,0.116167,0,0.4361,0.75,0.565275,0,0,0,0.939168
24,105,0.191406,0.824219,0.656559,-0.286974,0.102752,0,0.438227,0.75,0.568465,0,0,0,0.941091
25,105,0.199219,0.824219,0.658068,-0.250276,0.0892083,0,0.440196,0.75,0.571379,0,0,0,0.942854
26,105,0.207031,0.824219,0.659415,-0.212872,0.0755762,0,0.441955,0.75,0.573961,0,0,0,0.944421
27,105,0.214844,0.824219,0.660572,-0.174899,0.0618863,0,0.443469,0.75,0.576169,0,0,0,0.945764
28,105,0.222656,0.824219,0.661519,-0.136478,0.0481601,0,0.444709,0.75,0.577969,0,0,0,0.946862
29,105,0.230469,0.824219,0.662243,-0.0977186,0.0344119,0,0.445654,0.75,0.579338,0,0,0,0.947698
30,105,0.238281,0.824219,0.662732,-0.0587237,0.0206513,0,0.446291,0.75,0.580259,0,0,0,0.948262
31,105,0.246094,0.824219,0.662981,-0.0195898,0.00688445,0,0.446612,0.75,0.580723,0,0,0,0.948546
32,105,0.253906,0.824219,0.662981,0.0195898,-0.00688445,0,0.446612,0.75,0.580723,0,0,0,0.948546
33,105,0.261719,0.824219,0.662732,0.0587237,-0.0206513,0,0.446291,0.75,0.580259,0,0,0,0.948262
34,105,0.269531,0.824219,0.662243,0.0977186,-0.0344119,0,0.445654,0.75,0.579338,0,0,0,0.947698
35,105,0.277344,0.824219,0.661519,0.136478,-0.0481601,0,0.444709,0.75,0.577969,0,0,0,0.946862
36,105,0.285156,0.824219,0.660572,0.174899,-0.0618863,0,0.443469,0.75,0.576169,0,0,0,0.945764
37,105,0.292969,0.824219,0.659415,0.212872,-0.0755762,0,0.441955,0.75,0.573961,0,0,0,0.944421
38,105,0.300781,0.824219,0.658068,0.250276,-0.0892083,0,0.440196,0.75,0.571379,0,0,0,0.942854
39,105,0.308594,0.824219,0.656559,0.286974,-0.102752,0,0.438227,0.75,0.568465,0,0,0,0.941091
40,105,0.316406,0.824219,0.654924,0.322813,-0.116167,0,0.4361,0.75,0.565275,0,0,0,0.939168
41,105,0.324219,0.824219,0.653212,0.357616,-0.129396,0,0.433879,0.75,0.561881,0,0,0,0.937129
42,105,0.332031,0.824219,0.651485,0.391177,-0.14237,0,0.431645,0.75,0.558371,0,0,0,0.935029
43,105,0.339844,0.824219,0.649822,0.423262,-0.155001,0,0.4295,0.75,0.554856,0,0,0,0.932933
44,105,0.347656,0.824219,0.648319,0.4536,-0.167187,0,0.427571,0.75,0.551461,0,0,0,0.930919
45,105,0.355469,0.824219,0.647091,0.481892,-0.178821,0,0.426006,0.75,0.548326,0,0,0,0.929065
46,105,0.363281,0.824219,0.646273,0.507813,-0.189817,0,0.424982,0.75,0.545579,0,0,0,0.927446
47,105,0.371094,0.824219,0.646022,0.531025,-0.20017,0,0.424705,0.75,0.543289,0,0,0,0.926101
48,105,0.378906,0.824219,0.646542,0.551173,-0.210119,0,0.425448,0.75,0.541346,0,0,0,0.924962
49,105,0.386719,0.824219,0.648183,0.5678,-0.220564,0,0.427685,0.75,0.539163,0,0,0,0.923686
50,105,0.394531,0.824219,0.65177,0.580004,-0.234227,0,0.432566,0.75,0.534862,0,0,0,0.921182
51,105,0.402344,0.824219,0.659481,0.585463,-0.258698,0,0.443335,0.75,0.523099,0,0,0,0.914403
52,105,0.410156,0.824219,0.676247,0.578864,-0.312452,0,0.468551,0.75,0.490282,0,0,0,0.896034
53,105,0.417969,0.824219,0.708394,0.55321,-0.426582,0,0.523243,0.75,0.410779,0,0,0,0.855125
54,105,0.425781,0.824219,0.752931,0.510332,-0.615664,0,0.608602,0.75,0.265311,0,0,0,0.795544
55,105,0.433594,0.824219,0.788991,0.472017,-0.83614,0,0.683993,0.75,0.081598,0,0,0,0.754426
56,105,0.441406,0.824219,0.799577,0.458652,-1.02863,0,0.711656,0.75,-0.0855024,0,0,0,0.754858
57,105,0.449219,0.824219,0.789366,0.468664,-1.17535,0,0.699159,0.75,-0.212208,0,0,0,0.779444
58,105,0.457031,0.824219,0.769715,0.490649,-1.2856,0,0.668776,0.75,-0.304145,0,0,0,0.809323
59,105,0.464844,0.824219,0.747603,0.516369,-1.37047,0,0.634111,0.75,-0.371754,0,0,0,0.837079
60,105,0.472656,0.824219,0.726059,0.542088,-1.43656,0,0.60084,0.75,-0.421909,0,0,0,0.860527
61,105,0.480469,0.824219,0.706401,0.566252,-1.48729,0,0.571212,0.75,-0.458479,0,0,0,0.879035
62,105,0.488281,0.824219,0.689287,0.58809,-1.52456,0,0.546196,0.75,-0.483806,0,0,0,0.892507
63,105,0.496094,0.824219,0.674959,0.607253,-1.54986,0,0.526046,0.75,-0.499666,0,0,0,0.901203
64,105,0.503906,0.824219,0.663253,0.623779,-1.56494,0,0.510419,0.75,-0.507782,0,0,0,0.905727
65,105,0.511719,0.824219,0.653626,0.638094,-1.57196,0,0.498464,0.75,-0.509983,0,0,0,0.906963
66,105,0.519531,0.824219,0.645287,0.650889,-1.57327,0,0.489049,0.75,-0.508067,0,0,0,0.905887
67,105,0.527344,0.824219,0.637399,0.662908,-1.57099,0,0.481083,0.75,-0.503552,0,0,0,0.903363
68,105,0.535156,0.824219,0.629227,0.67472,-1.56665,0,0.473767,0.75,-0.497532,0,0,0,0.900021
69,105,0.542969,0.824219,0.620179,0.686627,-1.56122,0,0.466668,0.75,-0.49069,0,0,0,0.896257
70,105,0.550781,0.824219,0.609749,0.698678,-1.55519,0,0.459659,0.75,-0.483424,0,0,0,0.8923
71,105,0.558594,0.824219,0.597446,0.710761,-1.54878,0,0.452801,0.75,-0.475954,0,0,0,0.888275
72,105,0.566406,0.824219,0.582775,0.722685,-1.54205,0,0.446246,0.75,-0.468391,0,0,0,0.884246
73,105,0.574219,0.824219,0.565266,0.734264,-1.53495,0,0.440173,0.75,-0.460772,0,0,0,0.880234
74,105,0.582031,0.824219,0.54455,0.745311,-1.52736,0,0.434733,0.75,-0.453094,0,0,0,0.876239
75,105,0.589844,0.824219,0.520451,0.755738,-1.51917,0,0.430007,0.75,-0.44536,0,0,0,0.872265
76,105,0.597656,0.824219,0.493125,0.765419,-1.51038,0,0.426071,0.75,-0.43765,0,0,0,0.868353
77,105,0.605469,0.824219,0.463165,0.773975,-1.50123,0,0.423094,0.75,-0.430253,0,0,0,0.864649
78,105,0.613281,0.824219,0.431678,0.780235,-1.49247,0,0.421593,0.75,-0.423883,0,0,0,0.861497
79,105,0.621094,0.824219,0.400339,0.78112,-1.48578,0,0.422939,0.75,-0.420022,0,0,0,0.859604
80,105,0.628906,0.824219,0.371339,0.769893,-1.48422,0,0.430141,0.75,-0.421265,0,0,0,0.860212
81,105,0.636719,0.824219,0.347021,0.735248,-1.49148,0,0.448385,0.75,-0.430852,0,0,0,0.864947
82,105,0.644531,0.824219,0.328954,0.665604,-1.50725,0,0.48375,0.75,-0.449626,0,0,0,0.87445
83,105,0.652344,0.824219,0.31716,0.559144,-1.51796,0,0.539864,0.75,-0.470162,0,0,0,0.885185
84,105,0.660156,0.824219,0.310815,0.427343,-1.49123,0,0.617369,0.75,-0.473556,0,0,0,0.886992
85,105,0.667969,0.824219,0.309061,0.288146,-1.39008,0,0.715691,0.75,-0.437066,0,0,0,0.868059
86,105,0.675781,0.824219,0.310105,0.161672,-1.20518,0,0.82546,0.75,-0.351396,0,0,0,0.828238
87,105,0.683594,0.824219,0.311172,0.0663037,-0.96827,0,0.921975,0.75,-0.230753,0,0,0,0.784696
88,105,0.691406,0.824219,0.310633,0.00890968,-0.725996,0,0.983625,0.75,-0.101828,0,0,0,0.756881
89,105,0.699219,0.824219,0.308733,-0.0173161,-0.51158,0,1.00924,0.75,0.0139762,0,0,0,0.75013
90,105,0.707031,0.824219,0.306296,-0.0244491,-0.339744,0,1.01137,0.75,0.106569,0,0,0,0.757533
91,105,0.714844,0.824219,0.303833,-0.0224379,-0.212623,0,1.00309,0.75,0.174253,0,0,0,0.769977
92,105,0.722656,0.824219,0.301626,-0.0172601,-0.125177,0,0.992866,0.75,0.219841,0,0,0,0.781556
93,105,0.730469,0.824219,0.299558,-0.0117232,-0.0686917,0,0.984627,0.75,0.248022,0,0,0,0.789946
94,105,0.738281,0.824219,0.296866,-0.0066984,-0.0333187,0,0.97941,0.75,0.263608,0,0,0,0.794978
95,105,0.746094,0.824219,0.29257,-0.00217468,-0.00983321,0,0.976975,0.75,0.270374,0,0,0,0.797246
96,105,0.753906,0.824219,0.29257,0.00217468,0.00983321,0,0.976975,0.75,0.270374,0,0,0,0.797246
97,105,0.761719,0.824219,0.296866,0.0066984,0.0333187,0,0.97941,0.75,0.263608,0,0,0,0.794978
98,105,0.769531,0.824219,0.299558,0.0117232,0.0686917,0,0.984627,0.75,0.248022,0,0,0,0.789946
99,105,0.777344,0.824219,0.301626,0.0172601,0.125177,0,0.992866,0.75,0.219841,0,0,0,0.781556
100,105,0.785156,0.824219,0.303833,0.0224379,0.212623,0,1.00309,0.75,0.174253,0,0,0,0.769977
101,105,0.792969,0.824219,0.306296,0.0244491,0.339744,0,1.01137,0.75,0.106569,0,0,0,0.757533
102,105,0.800781,0.824219,0.308733,0.0173161,0.51158,0,1.00924,0.75,0.0139762,0,0,0,0.75013
103,105,0.808594,0.824219,0.310633,-0.00890968,0.725996,0,0.983625,0.75,-0.101828,0,0,0,0.756881
104,105,0.816406,0.824219,0.311172,-0.0663037,0.96827,0,0.921975,0.75,-0.230753,0,0,0,0.784696
105,105,0.824219,0.824219,0.310105,-0.161672,1.20518,0,0.82546,0.75,-0.351396,0,0,0,0.828238
106,105,0.832031,0.824219,0.309061,-0.288146,1.39008,0,0.715691,0.75,-0.437066,0,0,0,0.868059
107,105,0.839844,0.824219,0.310815,-0.427343,1.49123,0,0.617369,0.75,-0.473556,0,0,0,0.886992
108,105,0.847656,0.824219,0.31716,-0.559144,1.51796,0,0.539864,0.75,-0.470162,0,0,0,0.885185
109,105,0.855469,0.824219,0.328954,-0.665604,1.50725,0,0.48375,0.75,-0.449626,0,0,0,0.87445
110,105,0.863281,0.824219,0.347021,-0.735248,1.49148,0,0.448385,0.75,-0.430852,0,0,0,0.864947
111,105,0.871094,0.824219,0.371339,-0.769893,1.48422,0,0.430141,0.75,-0.421265,0,0,0,0.860212
112,105,0.878906,0.824219,0.400339,-0.78112,1.48578,0,0.422939,0.75,-0.420022,0,0,0,0.859604
113,105,0.886719,0.824219,0.431678,-0.780235,1.49247,0,0.421593,0.75,-0.423883,0,0,0,0.861497
114,105,0.894531,0.824219,0.463165,-0.773975,1.50123,0,0.423094,0.75,-0.430253,0,0,0,0.864649
115,105,0.902344,0.824219,0.493125,-0.765419,1.51038,0,0.426071,0.75,-0.43765,0,0,0,0.868353
116,105,0.910156,0.824219,0.520451,-0.755738,1.51917,0,0.430007,0.75,-0.44536,0,0,0,0.872265
117,105,0.917969,0.824219,0.54455,-0.745311,1.52736,0,0.434733,0.75,-0.453094,0,0,0,0.876239
118,105,0.925781,0.824219,0.565266,-0.734264,1.53495,0,0.440173,0.75,-0.460772,0,0,0,0.880234
119,105,0.933594,0.824219,0.582775,-0.722685,1.54205,0,0.446246,0.75,-0.468391,0,0,0,0.884246
120,105,0.941406,0.824219,0.597446,-0.710761,1.54878,0,0.452801,0.75,-0.475954,0,0,0,0.888275
121,105,0.949219,0.824219,0.609749,-0.698678,1.55519,0,0.459659,0.75,-0.483424,0,0,0,0.8923
122,105,0.957031,0.824219,0.620179,-0.686627,1.56122,0,0.466668,0.75,-0.49069,0,0,0,0.896257
123,105,0.964844,0.824219,0.629227,-0.67472,1.56665,0,0.473767,0.75,-0.497532,0,0,0,0.900021
124,105,0.972656,0.824219,0.637399,-0.662908,1.57099,0,0.481083,0.75,-0.503552,0,0,0,0.903363
125,105,0.980469,0.824219,0.645287,-0.650889,1.57327,0,0.489049,0.75,-0.508067,0,0,0,0.905887
126,105,0.988281,0.824219,0.653626,-0.638094,1.57196,0,0.498464,0.75,-0.509983,0,0,0,0.906963
127,105,0.996094,0.824219,0.663253,-0.623779,1.56494,0,0.510419,0.75,-0.507782,0,0,0,0.905727
0,106,0.00390625,0.832031,0.674959,-0.607253,1.54986,0,0.526046,0.75,-0.499666,0,0,0,0.901203
1,106,0.0117188,0.832031,0.689287,-0.58809,1.52456,0,0.546196,0.75,-0.483806,0,0,0,0.892507
2,106,0.0195312,0.832031,0.706401,-0.566252,1.48729,0,0.571212,0.75,-0.458479,0,0,0,0.879035
3,106,0.0273438,0.832031,0.726059,-0.542088,1.43656,0,0.60084,0.75,-0.421909,0,0,0,0.860527
4,106,0.0351562,0.832031,0.747603,-0.516369,1.37047,0,0.634111,0.75,-0.371754,0,0,0,0.837079
5,106,0.0429688,0.832031,0.769715,-0.490649,1.2856,0,0.668776,0.75,-0.304145,0,0,0,0.809323
6,106,0.0507812,0.832031,0.789366,-0.468664,1.17535,0,0.699159,0.75,-0.212208,0,0,0,0.779444
7,106,0.0585938,0.832031,0.799577,-0.458652,1.02863,0,0.711656,0.75,-0.0855024,0,0,0,0.754858
8,106,0.0664062,0.832031,0.788991,-0.472017,0.83614,0,0.683993,0.75,0.081598,0,0,0,0.754426
9,106,0.0742188,0.832031,0.752931,-0.510332,0.615664,0,0.608602,0.75,0.265311,0,0,0,0.795544
10,106,0.0820312,0.832031,0.708394,-0.55321,0.426582,0,0.523243,0.75,0.410779,0,0,0,0.855125
11,106,0.0898438,0.832031,0.676247,-0.578864,0.312452,0,0.468551,0.75,0.490282,0,0,0,0.896034
12,106,0.0976562,0.832031,0.659481,-0.585463,0.258698,0,0.443335,0.75,0.523099,0,0,0,0.914403
